target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
graphicsmagick,10055,WRITE,4286259232,1000000.0,256,128,6,0,1,1,2,0,0,0,0,0,0,0,2105,0.9966745843230403,0.003800475059382423,0,1733,8,0.2042343930457805,0.00332541567695962
graphicsmagick,10096,WRITE,2020565623,1000000.0,184,92,0,0,1,1,1,0,0,0,0,0,0,0,50,0.98,0.36,0,1,8,3.7590795706241744,0.0
graphicsmagick,10306,WRITE,1099511627776,1000000.0,258,130,4,0,0,0,0,0,0,0,0,0,0,0,81,0.9876543209876543,0.6049382716049383,0,20,21,2.892857562021557,0.012345679012345678
graphicsmagick,10400,READ,2320322119,1000000.0,44,22,1,4,0,0,0,0,0,0,0,0,0,0,17,0.47058823529411764,0.0,3,3,8,3.572469458770135,0.058823529411764705
graphicsmagick,10653,READ,4280352544,1000000.0,256,128,4,0,0,0,1,0,0,0,0,0,0,0,2052,0.8932748538011696,0.0024366471734892786,0,449,50,0.6001798355465179,0.10623781676413255
graphicsmagick,13160,READ,2036429426,1000000.0,256,128,0,0,0,0,0,0,0,0,0,0,0,0,91,1.0,0.0989010989010989,0,2,18,4.491519536753292,0.0
graphicsmagick,15707,READ,1099511627776,1000000.0,266,136,8,0,0,0,0,0,0,0,0,0,0,0,228,0.9956140350877193,0.7368421052631579,0,151,153,2.384435288347597,0.0043859649122807015
libvips,16313,READ,538976288,1000000.0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,0,5,0,-0.0,0.0
libvips,16565,READ,4292944047,511064.7675,142,116,7,12,-7,7,0,0,0,8,9,0,0,0,8400,0.6616666666666666,0.012857142857142857,730,296,139,3.37268391227731,0.17702380952380953
libvips,16566,READ,4294957568,1000000.0,158,80,16,0,0,0,0,0,0,0,0,0,0,0,44,0.5454545454545454,0.0,3,9,8,3.2020836065361147,0.22727272727272727
libvips,16707,DoS,4294967295,1000000.0,240,120,51,0,0,0,0,0,0,0,0,0,0,0,64,0.5625,0.0,0,21,21,1.3725562489182659,0.421875
