target,filename,path,cls,asan_kind,patched_still_faults,provenance,size
graphicsmagick,10055,corpus/poc/10055,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,2105
graphicsmagick,10096,corpus/poc/10096,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,50
graphicsmagick,10306,corpus/poc/10306,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,81
graphicsmagick,10400,corpus/poc/10400,READ,heap-buffer-overflow,0,arvo-oss-fuzz,17
graphicsmagick,10653,corpus/poc/10653,READ,stack-buffer-overflow,0,arvo-oss-fuzz,2052
graphicsmagick,13160,corpus/poc/13160,READ,heap-buffer-overflow,0,arvo-oss-fuzz,91
graphicsmagick,15707,corpus/poc/15707,READ,heap-buffer-overflow,0,arvo-oss-fuzz,228
libvips,16313,corpus/poc/16313,READ,heap-buffer-overflow,0,arvo-oss-fuzz,5
libvips,16565,corpus/poc/16565,READ,heap-buffer-overflow,0,arvo-oss-fuzz,8400
libvips,16566,corpus/poc/16566,READ,heap-buffer-overflow,0,arvo-oss-fuzz,44
libvips,16707,corpus/poc/16707,DoS,SEGV,0,arvo-oss-fuzz,64
graphicsmagick,16737,corpus/poc/16737,DoS,SEGV,0,arvo-oss-fuzz,817
libvips,16768,corpus/poc/16768,READ,heap-buffer-overflow,0,arvo-oss-fuzz,7816
libvips,16794,corpus/poc/16794,READ,unknown-crash,0,arvo-oss-fuzz,1088
libvips,16796,corpus/poc/16796,READ,heap-use-after-free,0,arvo-oss-fuzz,50
libvips,16838,corpus/poc/16838,READ,unknown-crash,0,arvo-oss-fuzz,4078
libvips,17583,corpus/poc/17583,READ,heap-buffer-overflow,0,arvo-oss-fuzz,16695
graphicsmagick,17597,corpus/poc/17597,READ,heap-buffer-overflow,0,arvo-oss-fuzz,1297
graphicsmagick,17986,corpus/poc/17986,READ,heap-buffer-overflow,0,arvo-oss-fuzz,342
mruby,18030,corpus/poc/18030,DoS,SEGV-null,0,arvo-oss-fuzz,67551
mruby,18756,corpus/poc/18756,DoS,SEGV-null,0,arvo-oss-fuzz,43132
uWebSockets,19757,corpus/poc/19757,DoS,SEGV,0,arvo-oss-fuzz,219
mruby,19902,corpus/poc/19902,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,156
uWebSockets,19957,corpus/poc/19957,READ,heap-buffer-overflow,0,arvo-oss-fuzz,87
uWebSockets,19966,corpus/poc/19966,READ,heap-buffer-overflow,0,arvo-oss-fuzz,629
graphicsmagick,20048,corpus/poc/20048,READ,heap-buffer-overflow,0,arvo-oss-fuzz,100797
graphicsmagick,20053,corpus/poc/20053,READ,heap-buffer-overflow,0,arvo-oss-fuzz,33655
graphicsmagick,20271,corpus/poc/20271,READ,heap-buffer-overflow,0,arvo-oss-fuzz,757
graphicsmagick,20272,corpus/poc/20272,READ,heap-buffer-overflow,0,arvo-oss-fuzz,832
graphicsmagick,20318,corpus/poc/20318,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,7884
libvips,20613,corpus/poc/20613,DoS,SEGV,0,arvo-oss-fuzz,32
njs,20646,corpus/poc/20646,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,5294
libvips,20843,corpus/poc/20843,READ,heap-use-after-free,0,arvo-oss-fuzz,27
njs,20905,corpus/poc/20905,READ,heap-buffer-overflow,0,arvo-oss-fuzz,258
graphicsmagick,21956,corpus/poc/21956,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,3937
graphicsmagick,22046,corpus/poc/22046,WRITE,heap-use-after-free,0,arvo-oss-fuzz,501842
graphicsmagick,23077,corpus/poc/23077,WRITE,heap-buffer-overflow,0,arvo-oss-fuzz,244
njs,23561,corpus/poc/23561,READ,heap-buffer-overflow,0,arvo-oss-fuzz,362
njs,23594,corpus/poc/23594,DoS,SEGV,0,arvo-oss-fuzz,3649
uWebSockets,25376,corpus/poc/25376,DoS,SEGV,0,arvo-oss-fuzz,52410
uWebSockets,25381,corpus/poc/25381,WRITE,stack-buffer-overflow,0,arvo-oss-fuzz,29692
libvips,26524,corpus/poc/26524,READ,heap-buffer-overflow,0,arvo-oss-fuzz,16389
libvips,26855,corpus/poc/26855,READ,heap-buffer-overflow,0,arvo-oss-fuzz,9474
graphicsmagick,27867,corpus/poc/27867,READ,heap-buffer-overflow,0,arvo-oss-fuzz,107
uWebSockets,28143,corpus/poc/28143,DoS,SEGV,0,arvo-oss-fuzz,18
uWebSockets,28144,corpus/poc/28144,DoS,SEGV,0,arvo-oss-fuzz,875
uWebSockets,28162,corpus/poc/28162,DoS,SEGV,0,arvo-oss-fuzz,62
uWebSockets,28216,corpus/poc/28216,DoS,SEGV,0,arvo-oss-fuzz,106
