target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+1b8d88__973c7e695fcb75af.png,READ,1099511627776,1000000.0,199,124,24,6,0,0,0,1,0,9,0,0,0,0,505,0.7881188118811882,0.0891089108910891,27,13,56,5.81459883570364,0.06534653465346535
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+25c0df__6c1de374ca86f923.png,WRITE,4098425601,1000000.0,128,66,5,0,0,0,0,0,0,0,0,0,0,0,37,0.08108108108108109,0.0,3,5,21,2.0527827577512534,0.08108108108108109
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+2c847__58e7d6933c851a6a.png,WRITE,4273124018,1000000.0,94,48,8,0,0,0,0,0,0,0,0,0,0,0,28,0.07142857142857142,0.0,1,12,25,1.9568714389102795,0.14285714285714285
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+2d4c7__6e2ada61f89dfb81.png,WRITE,4111008001,1000000.0,70,36,2,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,1,8,7,1.6388067184095578,0.045454545454545456
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+2d53__08905e104cb060a7.png,WRITE,4286578965,1000000.0,245,124,22,4,0,0,0,1,0,1,0,0,0,0,74,0.43243243243243246,0.02702702702702703,9,5,26,4.7006075364739655,0.16216216216216217
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+2d5a__f7f3329c9e2c8072.png,WRITE,4294967295,1000000.0,243,124,34,4,0,0,0,0,0,2,0,0,0,0,115,0.40869565217391307,0.017391304347826087,11,13,52,4.028105414659496,0.17391304347826086
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+3fd4__3560d8e43d7c0b18.png,DoS,4077974258,1000000.0,140,70,41,4,0,0,0,0,0,0,0,0,0,0,41,0.0,0.0,4,7,41,3.2491258589138288,0.5609756097560976
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+5e10d3__7d5bfe48d9e4e4cf.png,WRITE,4294967168,1000000.0,96,48,14,8,0,0,0,0,0,0,0,0,0,0,33,0.09090909090909091,0.0,7,4,30,2.5211524286140787,0.21212121212121213
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+92bd__276908cbc9a65178.png,DoS,4294967060,1000000.0,54,28,14,0,0,0,0,0,0,0,0,0,0,0,18,0.05555555555555555,0.0,3,3,15,3.2390979179887864,0.3888888888888889
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+9590__d0bfaa70abe26b0b.png,DoS,4292411263,1000000.0,184,92,17,0,4,4,4,0,0,0,0,0,0,0,50,0.76,0.16,0,6,21,4.180392924099245,0.22
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+95a7__ebd67f43cc1d6ba3.png,DoS,4293021169,1000000.0,56,28,20,0,0,0,0,0,0,0,0,0,0,0,18,0.1111111111111111,0.0,0,3,18,2.816340113853408,0.7222222222222222
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+965a__fe26943605658116.png,WRITE,4043416592,1000000.0,246,122,50,6,0,0,0,1,0,1,0,0,0,0,72,0.2638888888888889,0.0,5,4,19,3.745155859068851,0.4027777777777778
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__fsviewer+c360f__b495a6320a2860d5.png,READ,2757516380,1000000.0,256,128,4,0,0,0,0,1,0,1,24,0,0,0,195,0.5230769230769231,0.005128205128205128,13,9,24,4.327279495351793,0.10256410256410256
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__ntdll+44834__d0abdc101a57dcf6.png,DoS,4290136393,1000000.0,230,118,8,8,0,0,0,0,0,4,0,0,0,0,286,0.541958041958042,0.013986013986013986,22,14,46,5.575673426904505,0.2097902097902098
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__ntdll+4d002__4c9221fb4345519c.png,WRITE,3909157197,1000000.0,114,58,21,0,0,0,0,0,0,0,0,0,0,0,33,0.12121212121212122,0.0,1,4,19,3.126122334243106,0.3333333333333333
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+167069ba__34ad746fb800c801.png,WRITE,4294967117,1000000.0,50,26,10,2,0,0,0,0,0,0,0,0,0,0,18,0.1111111111111111,0.0,6,3,18,2.4885548621928453,0.2777777777777778
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+167569ba__5a2e44fc4952a302.png,DoS,4294967295,1000000.0,205,109,26,15,-1,1,0,1,0,1,0,0,0,0,292,0.5205479452054794,0.023972602739726026,46,16,49,5.23633623304549,0.1506849315068493
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+167769ba__857e13f97e097afc.png,WRITE,3976464665,1000000.0,98,52,2,8,0,0,0,0,0,0,0,0,0,0,35,0.08571428571428572,0.0,11,4,9,2.9196270077976934,0.02857142857142857
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+168269ba__38ab402e42e2127e.png,DoS,4227513191,1000000.0,52,28,10,0,0,0,0,0,0,0,0,0,0,0,18,0.16666666666666666,0.0,3,2,18,3.0441104177484006,0.2777777777777778
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+168569ba__65b3e87f5cdc4c09.png,WRITE,4294905856,1000000.0,48,24,10,4,0,0,0,0,0,0,0,0,0,0,18,0.1111111111111111,0.0,5,3,18,2.858278308418045,0.2777777777777778
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+168669ba__036aa1a3efe3cb2b.png,WRITE,4244907780,1000000.0,132,67,18,5,0,0,0,0,0,0,0,0,0,0,40,0.125,0.0,8,8,22,2.539353872167201,0.225
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+168769ba__a42846b83d2eb5d2.png,WRITE,4294443040,1000000.0,219,112,23,2,0,0,0,0,0,0,0,0,0,0,61,0.22950819672131148,0.0,6,9,24,3.3657664086343186,0.19672131147540983
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16a969ba__0d98cbf77e30f8b9.png,WRITE,4294443052,1000000.0,171,89,14,1,0,0,0,0,0,0,0,0,0,0,49,0.12244897959183673,0.0,6,7,20,2.8977162941742165,0.14285714285714285
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16ad69ba__57d2e59afde27ae4.png,DoS,4294967295,1000000.0,71,37,16,1,-1,1,0,0,0,0,0,0,0,0,23,0.21739130434782608,0.0,4,4,14,2.9255233690064273,0.391304347826087
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16af69ba__69875c73993bff59.png,DoS,3800072194,1000000.0,52,26,12,2,0,0,0,0,0,0,0,0,0,0,18,0.16666666666666666,0.0,4,2,15,3.169925001442312,0.3333333333333333
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16bb69ba__7d227f40be626040.png,DoS,4290118660,1000000.0,160,85,7,1,0,0,0,0,0,0,0,0,0,0,47,0.0851063829787234,0.02127659574468085,7,10,27,3.259050225891877,0.10638297872340426
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16bc69ba__a1aee5d5697b30a3.png,WRITE,4290118633,1000000.0,203,107,19,3,0,0,0,0,0,0,0,0,0,0,59,0.1864406779661017,0.03389830508474576,11,3,32,3.7636322914679714,0.1864406779661017
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16be6ec6__dba31a7180765c83.png,READ,4292346328,1000000.0,237,124,35,4,0,0,0,0,0,0,0,0,0,0,173,0.26011560693641617,0.017341040462427744,38,7,65,4.774370810027261,0.2774566473988439
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16bf69ba__e8bf6af9bd9b8d01.png,DoS,4294967055,1000000.0,226,112,46,14,2,2,2,0,0,0,0,0,0,0,77,0.14285714285714285,0.0,20,4,26,3.9641999726982142,0.33766233766233766
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16c069ba__2ee000194dea0a38.png,DoS,4261478657,1000000.0,53,26,7,4,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,5,3,19,2.268472751631122,0.2631578947368421
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16c269ba__fd610154ff7abde1.png,DoS,4294967295,1000000.0,71,37,19,1,-1,1,0,0,0,0,0,0,0,0,23,0.13043478260869565,0.0,4,4,7,2.4342685732304794,0.5217391304347826
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16c369ba__3238da1cea8b646f.png,WRITE,4294967295,1000000.0,101,52,10,8,0,0,0,0,0,0,0,0,0,0,35,0.05714285714285714,0.0,10,4,12,2.8227385611392357,0.2
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16c469ba__4e988b621bacfb1d.png,DoS,4294967168,1000000.0,56,28,13,0,0,0,0,0,0,0,0,0,0,0,18,0.2777777777777778,0.0,2,3,18,2.974937501201927,0.3888888888888889
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16cc69ba__a074b30c97bd8b33.png,WRITE,4294934528,1000000.0,165,85,19,3,0,0,0,0,0,0,0,0,0,0,48,0.020833333333333332,0.0,7,15,45,2.5428032804937777,0.25
faststone,fsviewer-ACCESS_VIOLATION_READ_c0000005__unknown+16d069ba__5491ae0941b5dd3a.png,WRITE,4244907780,1000000.0,132,69,4,3,0,0,0,0,0,0,0,0,0,0,40,0.125,0.0,7,5,17,2.9246702095890944,0.075
