target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
cjson_minify,crash-000d6c92139d9989d721affb674fbb5b3fae69c8,READ,4294914608,1000000.0,112,56,15,0,2,2,2,1,0,1,4,0,0,0,32,0.65625,0.1875,0,5,8,3.6914280318460246,0.28125
cjson_minify,crash-01001da2865b6efc6264a86c2e32963de0e18e70,READ,1546137648,1000000.0,17,8,0,0,0,0,0,1,0,1,1,0,0,0,8,1.0,0.5,0,2,4,2.75,0.0
cjson_minify,crash-022c9fde327a109dd7bb6189b6e5bcf3b1105524,READ,3980143151,1000000.0,64,32,1,0,0,0,0,0,0,0,2,0,0,0,20,0.95,0.0,0,10,18,2.0609640474436812,0.05
cjson_minify,crash-03271ebf8058800f5593e96626a8b8d2600fc1c7,READ,4294925312,1000000.0,61,30,9,0,0,0,1,0,0,2,1,0,0,0,19,0.6842105263157895,0.2631578947368421,1,2,9,3.616348566075164,0.2631578947368421
cjson_minify,crash-04ef68b88cf3c3ab34edec0dec4ccf24f9c5c12a,READ,4294926626,1000000.0,40,20,4,0,1,1,1,1,0,3,0,0,0,0,14,0.8571428571428571,0.0,0,2,5,2.753434386188785,0.14285714285714285
cjson_minify,crash-06f9898301af2f437991f6b39f14bee3e9d05b9b,READ,2066381689,1000000.0,60,30,0,0,2,2,2,0,0,2,0,0,0,0,19,0.5789473684210527,0.0,1,4,3,2.970840013101985,0.0
cjson_minify,crash-0851a034676da8214aea5c34c2da7d77092f4f8d,READ,4231289856,1000000.0,40,20,1,0,0,0,1,0,0,2,2,0,0,0,14,0.7857142857142857,0.07142857142857142,2,1,5,3.2359263506290326,0.07142857142857142
cjson_minify,crash-098cce3304e5a37aa7ecddc715bf943c49a92020,READ,2099406114,1000000.0,56,28,0,0,1,1,1,1,0,7,0,0,0,0,18,1.0,0.0,0,2,1,2.591793226077496,0.0
cjson_minify,crash-0ca10d0a3264bda460ad9daf0a8745e2999d96f5,READ,1546594829,1000000.0,60,30,0,0,0,0,0,1,0,1,3,0,0,0,19,0.6842105263157895,0.0,0,2,3,2.970840013101985,0.0
cjson_minify,crash-0ee75e76c948a3155ce12222e3a72625a744a88a,READ,2071667247,1000000.0,52,26,0,0,2,2,2,1,0,3,0,0,0,0,17,0.9411764705882353,0.0,0,2,3,3.1307179879273743,0.0
cjson_minify,crash-1052ca001fb6c08adee0d5a1268b6d2ffc1ae1b1,READ,2071493418,1000000.0,40,20,0,0,1,1,1,1,0,1,0,0,0,0,14,0.7857142857142857,0.0,0,2,2,2.753434386188785,0.0
cjson_minify,crash-11b05eb618a57b5d3c2e1ff54f884334135a340f,READ,4141185915,1000000.0,72,36,8,0,0,0,0,1,0,1,0,0,0,0,22,0.4090909090909091,0.0,0,7,9,2.913977073182752,0.18181818181818182
