target,filename,cls,decl_max,decl_over_size,decl_exceeds,decl_gt16,decl_gt31,decl_trunc16_zero,unbalanced,unbalanced_abs,max_depth,unclosed_quote,dangling_escape,quote_count,escape_count,open_comment,ends_in_escape,ends_in_quote,size,printable,digits,nulls,max_run,max_token,entropy,high_bytes
frozen,read-0000,READ,2065856866,61794.647662349314,133,133,0,0,1,1,1,1,1,3,1,0,1,0,33431,1.0,0.3652298764619664,0,6,89,3.4614872655601245,0.0
frozen,read-0001,READ,2065856866,14040.553681992727,130,130,0,0,1,1,1,1,1,3,1,0,1,0,147135,1.0,0.3632582322357019,0,7,92,3.459964666726812,0.0
frozen,read-0002,READ,2065851492,10367.35749880812,131,133,0,0,1,1,1,1,1,3,1,0,1,0,199265,1.0,0.3633904599402805,0,6,102,3.4600546369491374,0.0
frozen,read-0003,READ,2054775418,18252.339912592382,128,128,0,0,0,0,0,1,1,1,1,0,1,0,112576,1.0,0.3648113274587834,0,7,85,3.459628293746855,0.0
frozen,read-0004,READ,2054775346,11212.53401507173,130,131,0,0,1,1,1,1,1,1,1,0,1,0,183257,1.0,0.36430259144261884,0,6,98,3.4596664643749673,0.0
frozen,read-0005,READ,2054781234,41788.47763925891,130,130,0,0,0,0,0,1,1,1,1,0,1,0,49171,1.0,0.3626731203351569,0,5,113,3.4597943220949823,0.0
frozen,read-0006,READ,2054846818,103294.96898406475,217,136,0,0,0,0,0,1,1,1,1,0,1,0,19893,1.0,0.3630422761775499,0,5,67,3.460470022938214,0.0
frozen,read-0007,READ,2065851233,18416.324787162914,129,131,0,0,1,1,1,1,1,3,1,0,1,0,112175,1.0,0.365598395364386,0,6,90,3.4601270196125578,0.0
frozen,read-0008,READ,2053317211,13956.086992870105,132,132,0,0,1,1,1,1,1,1,1,0,1,0,147127,1.0,0.36408001250620214,0,6,111,3.459688091663163,0.0
frozen,read-0009,READ,2054846514,19447.539905925554,134,134,0,0,0,0,0,1,1,1,1,0,1,0,105661,1.0,0.3616566188092106,0,6,93,3.4596177174185225,0.0
