target,filename,path,cls,provenance,patched_still_faults
frozen,read-0000,gen/frozen_read_matched/read-0000,READ,constructed,0
frozen,read-0001,gen/frozen_read_matched/read-0001,READ,constructed,0
frozen,read-0002,gen/frozen_read_matched/read-0002,READ,constructed,0
frozen,read-0003,gen/frozen_read_matched/read-0003,READ,constructed,0
frozen,read-0004,gen/frozen_read_matched/read-0004,READ,constructed,0
frozen,read-0005,gen/frozen_read_matched/read-0005,READ,constructed,0
frozen,read-0006,gen/frozen_read_matched/read-0006,READ,constructed,0
frozen,read-0007,gen/frozen_read_matched/read-0007,READ,constructed,0
frozen,read-0008,gen/frozen_read_matched/read-0008,READ,constructed,0
frozen,read-0009,gen/frozen_read_matched/read-0009,READ,constructed,0
frozen,read-0010,gen/frozen_read_matched/read-0010,READ,constructed,0
frozen,read-0011,gen/frozen_read_matched/read-0011,READ,constructed,0
frozen,read-0012,gen/frozen_read_matched/read-0012,READ,constructed,0
frozen,read-0013,gen/frozen_read_matched/read-0013,READ,constructed,0
frozen,read-0014,gen/frozen_read_matched/read-0014,READ,constructed,0
frozen,read-0015,gen/frozen_read_matched/read-0015,READ,constructed,0
frozen,read-0016,gen/frozen_read_matched/read-0016,READ,constructed,0
frozen,read-0017,gen/frozen_read_matched/read-0017,READ,constructed,0
frozen,read-0018,gen/frozen_read_matched/read-0018,READ,constructed,0
frozen,read-0019,gen/frozen_read_matched/read-0019,READ,constructed,0
frozen,read-0020,gen/frozen_read_matched/read-0020,READ,constructed,0
frozen,read-0021,gen/frozen_read_matched/read-0021,READ,constructed,0
frozen,read-0022,gen/frozen_read_matched/read-0022,READ,constructed,0
frozen,read-0023,gen/frozen_read_matched/read-0023,READ,constructed,0
frozen,read-0024,gen/frozen_read_matched/read-0024,READ,constructed,0
frozen,read-0025,gen/frozen_read_matched/read-0025,READ,constructed,0
frozen,read-0026,gen/frozen_read_matched/read-0026,READ,constructed,0
frozen,read-0027,gen/frozen_read_matched/read-0027,READ,constructed,0
frozen,read-0028,gen/frozen_read_matched/read-0028,READ,constructed,0
frozen,read-0029,gen/frozen_read_matched/read-0029,READ,constructed,0
frozen,read-0030,gen/frozen_read_matched/read-0030,READ,constructed,0
frozen,read-0031,gen/frozen_read_matched/read-0031,READ,constructed,0
frozen,read-0032,gen/frozen_read_matched/read-0032,READ,constructed,0
frozen,read-0033,gen/frozen_read_matched/read-0033,READ,constructed,0
frozen,read-0034,gen/frozen_read_matched/read-0034,READ,constructed,0
frozen,read-0035,gen/frozen_read_matched/read-0035,READ,constructed,0
frozen,read-0036,gen/frozen_read_matched/read-0036,READ,constructed,0
